prompt_id,hash_id,result_id,repo_url,team_name,course_id,timestamp,session_id,coding_agent,message_preview,message_text,primary_code,has_task,has_object,has_form,has_constraints,context_dependent,exclude_reason,notes,coder_id
P01,b409d3682c,microfaults-zeus-go-9ae7ef93538f,https://github.com/microfaults/zeus-go,,,2026-05-23T23:48:51.953000+00:00,agent-a420f6acb4979b782,claude_code,"In the zeus-go codebase at c:\Users\hello\Desktop\SwayamFolder\WorkMaterial\Projects\microfaults\zeus-go, find: / 1. The workflow DSL node types (sequence, parallel, request, optional, delay, loop, we","In the zeus-go codebase at c:\Users\hello\Desktop\SwayamFolder\WorkMaterial\Projects\microfaults\zeus-go, find: / 1. The workflow DSL node types (sequence, parallel, request, optional, delay, loop, weighted, etc.) and their JSON field schemas / 2. Any existing example workflow JSON files or test fixtures that show the DSL structure / 3. The workflow model/struct that zeus parses / / Search breadth: very thorough. Report the exact JSON field shapes for each DSL node type and any real examples found.",SPECIFIC,Y,Y,Y,Y,Y,,clear task+object with detail/form/constraints,pilot-v2
P02,87ea3b9036,scottyUX-IstanbulMedic-Connect-05ee881b7994,https://github.com/scottyUX/IstanbulMedic-Connect,,,2026-05-21T22:38:12.653000+00:00,agent-ab62d6808f3ff641e,claude_code,Find the dedicated consultations or dashboard page in this Next.js app at /Users/matthewkimotsuki/IstanbulMedic-Connect. Look for pages under app/ that relate to consultations or a user dashboard. Rep,Find the dedicated consultations or dashboard page in this Next.js app at /Users/matthewkimotsuki/IstanbulMedic-Connect. Look for pages under app/ that relate to consultations or a user dashboard. Report the file paths and a brief description of what each page does. Quick search.,SPECIFIC,Y,Y,N,N,Y,,clear task+object with detail/form/constraints,pilot-v2
P03,a3f622fe18,royshadmon-EADS-a5a6be746778,https://github.com/royshadmon/EADS,EADS,CSE115A-Spring26,2026-05-14T00:53:24.391000+00:00,a12a4c23-8715-4883-b0ff-cc2ac36ca1c9,claude_code,var/sampling/samples.sock / / is this something i will need to impliment?,var/sampling/samples.sock / / is this something i will need to impliment?,VAGUE,Y,N,N,N,Y,,yes/no implement; weak object,pilot-v2
P04,fdbe51e7bf,ismilesen-circuit-simulation-54f97c857778,https://github.com/ismilesen/circuit-simulation,Circuit Simulator,CSE115A-Spring26,2026-04-10T23:32:24.064000+00:00,e48e1a29-02b7-4afc-961e-5a9c752668fb,claude_code,I want to make another change for coloring of voltage ranges. It should be ranges of yellow rather than any other colors. I also want to have a visual key that explains the voltage ranges. This would,I want to make another change for coloring of voltage ranges. It should be ranges of yellow rather than any other colors. I also want to have a visual key that explains the voltage ranges. This would be a ui element in game.,SPECIFIC,Y,Y,N,N,N,,clear task+object with detail/form/constraints,pilot-v2
P05,732fa03090,Aicnev04-PriceYourPlaylist-c17a5b9a1526,https://github.com/Aicnev04/PriceYourPlaylist,,,2026-05-06T02:44:23.476000+00:00,8d2db768-1c64-4020-ba5e-55d8efe75b7e,claude_code,Let's work on UI now. I dont like the current look. the big purple ball looks very weird. its not very modern. the background could have a mesh gradient look with more simple font like apple or google,Let's work on UI now. I dont like the current look. the big purple ball looks very weird. its not very modern. the background could have a mesh gradient look with more simple font like apple or google. I want it to look more like a professional product.,SPECIFIC,Y,Y,N,N,N,,clear task+object with detail/form/constraints,pilot-v2
P06,cd9295b9b7,microfaults-manteion-go-4bf04b8021f4,https://github.com/microfaults/manteion-go,,,2026-05-27T19:42:04.615000+00:00,agent-a95a3826a9c320229,claude_code,"Explore the codebase at c:\Users\hello\Desktop\SwayamFolder\WorkMaterial\Projects\microfaults\manteion-go to understand: / / 1. How composite workflows are defined and executed (look for ""smoke-test-c","Explore the codebase at c:\Users\hello\Desktop\SwayamFolder\WorkMaterial\Projects\microfaults\manteion-go to understand: / / 1. How composite workflows are defined and executed (look for ""smoke-test-composite"" or ""composite"" patterns) / 2. How manteion receives the POST /api/v1/workflows/:id/runs request and what it does / 3. How it coordinates between zeus-go (load testing) and atropos-go (fault injection) / 4. How run status is tracked and updated — specifically why a run might stay in ""running"" forever / 5. How it reports back to the frontend — any websocket/SSE/polling for run status / 6. How workflow steps are sequenced / 7. Look for any background goroutines managing run lifecycle / / Search breadth: very thorough. Return file paths, key function names, and relevant line numbers.",SPECIFIC,Y,Y,Y,Y,Y,,clear task+object with detail/form/constraints,pilot-v2
P07,5354edc2eb,Nxver-GitHub-Nodegent-2cbe9d9e3a3d,https://github.com/Nxver-GitHub/Nodegent,,,2026-05-29T09:06:01.417000+00:00,62ca2827-e55c-4370-bdfc-b6a733e4665c,claude_code,Check to ensure that DB bandwith remains low for both branches if convex is getting updated and that all code written for both branches are clean with no possible data corruption or messy field entrie,Check to ensure that DB bandwith remains low for both branches if convex is getting updated and that all code written for both branches are clean with no possible data corruption or messy field entries before we push and open PRs,SPECIFIC,Y,Y,N,Y,N,,check DB bandwidth constraint across branches,pilot-v2
P08,5d463bd800,MikeyZv-SlugMarket-18e09b522526,https://github.com/MikeyZv/SlugMarket,,,2026-06-02T21:35:06.050000+00:00,agent-a94f34fdabfc74bf4,claude_code,"Find and read the following files in d:\Projects\SlugMarket\slugmarket_next: / 1. app/(auth)/signin/page.tsx / 2. app/(auth)/signup/page.tsx / 3. Any existing test files (look for *.test.tsx, *.spec.t","Find and read the following files in d:\Projects\SlugMarket\slugmarket_next: / 1. app/(auth)/signin/page.tsx / 2. app/(auth)/signup/page.tsx / 3. Any existing test files (look for *.test.tsx, *.spec.tsx, __tests__ directories) / 4. package.json (to see test framework setup) / 5. jest.config.* or vitest.config.* if they exist / 6. Any tsconfig.json / / Report the full content of each file found. Search breadth: medium.",SPECIFIC,Y,Y,Y,N,Y,,clear task+object with detail/form/constraints,pilot-v2
P09,150cd2bde0,apagadua-shoe_shopper-93aa6cc83125,https://github.com/apagadua/shoe_shopper,ShoeShopper,CSE115A-Spring26,2026-05-07T05:58:29.507000+00:00,42b06ebd-2c88-4176-850d-d662e5b14195,claude_code,"for better debuging and instead of adding an AR toe constant, lets store the image locally (the one from roboflow showing what it detected) and after testing examine it to try to understand better wha","for better debuging and instead of adding an AR toe constant, lets store the image locally (the one from roboflow showing what it detected) and after testing examine it to try to understand better what's happening exactly",SPECIFIC,Y,Y,N,Y,N,,requested change: store image locally instead of AR constant,pilot-v2
P10,7cbf7464da,s-achawro-CWTCG-e1ac04c6c06f,https://github.com/s-achawro/CWTCG,,,2026-05-26T23:01:27.796000+00:00,bdea7802-7305-41a8-a732-35815519482e,claude_code,"@""/Users/scottdavis/Desktop/desktop/AI Driven SDL Research/Paper submission/Stage_Aware_AI_Usage_and_AI_Usage_Maturity_in_Software_Engineering_Education (with_corrections).pdf"" / now we a re collectin","@""/Users/scottdavis/Desktop/desktop/AI Driven SDL Research/Paper submission/Stage_Aware_AI_Usage_and_AI_Usage_Maturity_in_Software_Engineering_Education (with_corrections).pdf"" / now we a re collecting this dataset I will write a paper after this I attached my previous paper. Assume that I have the data of the 100 students from the Repo metrics tool both with the repo and the AI usage logs. and we are runing another sumilar survey. what would be the focus of the paper interms of AI and software education specific research questons",SPECIFIC,Y,Y,N,N,Y,,clear task+object with detail/form/constraints,pilot-v2
P11,e94e02c0b0,DAWLab-cse115-DAWLab-FrontEnd-018b0f63cddf,https://github.com/DAWLab-cse115/DAWLab-FrontEnd,,,2026-04-29T23:46:13.289000+00:00,ad39cd1a-6037-4c7a-869c-58ff8e100caa,claude_code,"analyze CLAUDE.md and TASK.md for DAWLab for all high level goals, subtasks, and whole workflow, then pick up the next task in Phase 4 for using Google Drive as a provider.","analyze CLAUDE.md and TASK.md for DAWLab for all high level goals, subtasks, and whole workflow, then pick up the next task in Phase 4 for using Google Drive as a provider.",SPECIFIC,Y,Y,N,N,N,,clear task+object with detail/form/constraints,pilot-v2
P12,47abc56777,mvongnakhone-SmartMenu-ed433e81dbd4,https://github.com/mvongnakhone/SmartMenu,,,2026-05-15T21:50:44.843000+00:00,dfa9088e-f2fd-40f9-acad-8ddb9a56b300,claude_code,Print hello world in the ota page,Print hello world in the ota page,SPECIFIC,Y,Y,Y,N,N,,print hello world on ota page,pilot-v2
P13,6b9d25a986,ky28059-GRTWebsite2.0-1959dbaf6c0d,https://github.com/ky28059/GRTWebsite2.0,,,2026-06-26T23:12:17.254000+00:00,c3aa053f-08a1-4395-8257-f9fe730e4329,claude_code,"The parser is written for the wrong JSONL schema. / The parser (cursor. py) looks for fields like: / • obj-get(""timestamp"", '"") — top-level timestamp key / • obj.get (""session_id"", '"") - top-level ses","The parser is written for the wrong JSONL schema. / The parser (cursor. py) looks for fields like: / • obj-get(""timestamp"", '"") — top-level timestamp key / • obj.get (""session_id"", '"") - top-level session_id key / • obj-get (""working_dir"", ''"") - top-level working_dir key / • obj-get(""tool"", ...) / obj.get (""name"" ,..) - top-level tool name / • obj-get (""usage"") - top-level usage/token block / But the actual Cursor agent transcript JSONL has a completely different structure: / {""role"": ""user"", ""message"": {""content"": K""type"": ""text"", ""text"":""...""}]}} / {""role"": ""assistant"", ""message"": {""content"": [""type"":""tool_use"", ""name"": ""Shell"", ""input"": {""working_director {""type"": ""turn_ended"", ""status"": ""success""} / The mismatches: / Column / Parser looks for / Actual location in JSONL / timestamp / obj. timestamp / doesn't exist / session_id / obj. session_id / doesn't exist (it's the filename stem) / working_dir / obj. working_dir / nested at message.contentI]. input.working_directory / too l_name / obj. tool or obj. name / nested at message. content [l. name / message_text / obj. content or obj. text / nested at message. contentIl.text / input_tokens / obj. usage. input_tokens / doesn't exist / model / obj. model / doesn't exist",SPECIFIC,Y,Y,Y,Y,N,,bug report naming wrong fields; implies fix parser,pilot-v2
P14,84202036ba,JoshuaC-coder-HTMLRenderer-592342c8d0ac,https://github.com/JoshuaC-coder/HTMLRenderer.git,,,2026-06-23T16:58:06,0a129e85-1674-44f8-8aa7-799d5246850e,cursor,"Given this chat context, create an implemnetation plan (with testing) for just 1.6.1. If there were things that we coveerd in this chat that weren't show in the git screenshot you can include those fi","Given this chat context, create an implemnetation plan (with testing) for just 1.6.1. If there were things that we coveerd in this chat that weren't show in the git screenshot you can include those fixes/modfiications also",SPECIFIC,Y,Y,Y,N,Y,,clear task+object with detail/form/constraints,pilot-v2
P15,ef56b9b078,Colin-Posat-SlugFound-c8556ef8e1d1,https://github.com/Colin-Posat/SlugFound,,,2026-05-18T04:30:58.742000+00:00,b95d7d0c-d119-4c15-be53-95a9bd982da9,claude_code,can you make sure the git is properly pulled and everything is up to date,can you make sure the git is properly pulled and everything is up to date,SPECIFIC,Y,Y,N,Y,N,,ensure git pulled / up to date,pilot-v2
P16,8adc10a848,scottyUX-ts-repo-metrics-6cd236a6a5ec,https://github.com/scottyUX/ts-repo-metrics,,,2026-05-31T19:30:39+00:00,f4a55eb6-6239-4ca2-a5ce-c70989e3b733,claude_code,I am working with a student team at UCSC CSE 115C the team has been working on a project tat can be found here https://github.com/scottyUX/IstanbulMedic-Connect.git They now are graduatting and want m,I am working with a student team at UCSC CSE 115C the team has been working on a project tat can be found here https://github.com/scottyUX/IstanbulMedic-Connect.git They now are graduatting and want me to provide a hand-off doc,VAGUE,N,Y,N,N,N,,insufficient task and/or object,pilot-v2
P17,3acfdfb186,JoshuaC-coder-Diet-Acne-Tracker-c15aaf99bf6c,https://github.com/JoshuaC-coder/Diet-Acne-Tracker,,,2026-06-28T14:02:11.000Z,a1b2c3d4-e5f6-7890-abcd-ef1234567890,claude_code,"Review the AI Usage tab CSV upload flow in apps/dashboard. Identify where analyzeAiUsageCsv is called, list the required columns, and propose one minimal fix if token columns are present but empty.","Review the AI Usage tab CSV upload flow in apps/dashboard. Identify where analyzeAiUsageCsv is called, list the required columns, and propose one minimal fix if token columns are present but empty.",SPECIFIC,Y,Y,Y,Y,N,,clear task+object with detail/form/constraints,pilot-v2
P18,236baaa370,scottyUX-ts-repo-metrics-dac156b46f7f,https://github.com/scottyUX/ts-repo-metrics,,,2026-05-26T17:00:40.306000+00:00,bdea7802-7305-41a8-a732-35815519482e,claude_code,do not fix anything,do not fix anything,VAGUE,Y,N,N,Y,N,,insufficient task and/or object,pilot-v2
P19,575b9f4530,apagadua-shoe_shopper-93aa6cc83125,https://github.com/apagadua/shoe_shopper,ShoeShopper,CSE115A-Spring26,2026-05-12T00:00:58.491000+00:00,42b06ebd-2c88-4176-850d-d662e5b14195,claude_code,do not be verbose in the commit and do not mention claude,do not be verbose in the commit and do not mention claude,SPECIFIC,Y,Y,N,Y,N,,commit style constraints,pilot-v2
P20,3086b532b0,apagadua-shoe_shopper-93aa6cc83125,https://github.com/apagadua/shoe_shopper,ShoeShopper,CSE115A-Spring26,2026-05-31T01:12:13.322000+00:00,f5bf6a7a-1474-44dd-ae93-a75f1f5fbe98,claude_code,there is nothing on my desktop...,there is nothing on my desktop...,VAGUE,N,N,N,N,N,,insufficient task and/or object,pilot-v2
E01,06c95a43f0,DAWLab-cse115-DAWLab-FrontEnd-018b0f63cddf,https://github.com/DAWLab-cse115/DAWLab-FrontEnd,,,2026-04-29T23:14:20.112000+00:00,ad39cd1a-6037-4c7a-869c-58ff8e100caa,claude_code,<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user e,<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>,EXCLUDE,N,N,N,N,N,local_command_caveat,noise codebook anchor,pilot-v2
